num,sf,shift,LM,MW,C,N,P,O,cansmi,envlab,mw,P_oxidation_state,P_valence
Lan3-CMP290,C27H33N4O5P,30.2,CDCl3,524.548481,27,4,1,5,C#CCN(c1ccc(cc1)C(=O)NC(P(=O)(OC)OC)CC(C)C)Cc1ccc2c(c1)c(=O)[nH]c(n2)C,C1O1O1O2,524.5580000000003,5,5.0
Lan3-CMP291,C27H33N4O5P,28.5,CDCl3,524.548481,27,4,1,5,C#CCN(c1ccc(cc1)C(=O)NC(P(=O)(OC)OC)C(C)(C)C)Cc1ccc2c(c1)c(=O)[nH]c(n2)C,C1O1O1O2,524.5580000000003,5,5.0
Lan3-CMP292,C30H39OP,29.9,CDCl3,446.603821,30,0,1,1,CC(c1cc(cc(c1P(=O)(c1ccccc1)c1ccccc1)C(C)(C)C)C(C)(C)C)(C)C,C1C1C1O2,446.6150000000002,5,5.0
Lan3-CMP293,C27H33O2P,15.3,CDCl3,420.523481,27,0,1,2,O=P(c1ccccc1c1ccccc1O)c1c(cc(cc1C(C)C)C(C)C)C(C)C,C1C1H1O2,420.5330000000002,5,5.0
Lan3-CMP296,C27H33O4P,47.01,CDCl3,452.522281,27,0,1,4,COc1ccc(cc1)CCP(=O)(CCc1ccc(cc1)OC)CCc1ccc(cc1)OC,C1C1C1O2,452.5310000000002,5,5.0
Lan3-CMP299,C27H34NO2P,23.77,CDCl3,435.538121,27,1,1,2,CC1(C)/C(=C\P(=O)(c2ccccc2)c2ccccc2)/C2C1(CCCC2)N1CCOCC1,C1C1C1O2,435.54800000000046,5,5.0
Lan3-CMP300,C27H34NO3P,24.63,CDCl3,451.537521,27,1,1,3,CCOP(=O)(C(c1ccc(cc1)C(C)C)NC(c1ccccc1)c1ccccc1)OCC,C1O1O1O2,451.5470000000002,5,5.0
Lan3-CMP301,C27H34N3O4P,23.3,CDCl3,495.550321,27,3,1,4,CCN(c1ccc(c(c1)O)C(P(=O)(OC)OC)Nc1ccc2c(c1)c1ccccc1n2CC)CC,C1O1O1O2,495.5600000000002,5,5.0
Lan3-CMP302,C27H34N3O8P,18.65,CDCl3,559.547920999998,27,3,1,8,CCOP(=O)(C(c1ccc(cc1)C)NC(=O)C(Oc1ccc(cc1)Oc1nc(OC)cc(n1)OC)C)OCC,C1O1O1O2,559.5560000000003,5,5.0
Lan3-CMP303,C27H34N3O9P,19.26,CDCl3,575.547320999999,27,3,1,9,CCOP(=O)(C(c1ccc(cc1)OC)NC(=O)C(Oc1ccc(cc1)Oc1nc(OC)cc(n1)OC)C)OCC,C1O1O1O2,575.5550000000002,5,5.0
